a @(15,-60) "Skip to the instrument" href=#instrument
button @(755,1826) "Source cache refresh returns synchronously. [raw 47]" type=submit
button @(755,1853) "Project graph refresh starts. [raw 48]" type=submit
button @(755,1880) "Project graph refresh settles. [raw 52]" type=submit
button @(755,1907) "Workspace state refresh starts. [raw 53]" type=submit
button @(755,1934) "Workspace state refresh settles. [raw 55]" type=submit
button @(755,1962) "Query service beginTurn starts. [raw 56]" type=submit
button @(755,1989) "Core’s six cache handles clear synchronously. [raw 58, 59, 60, 61, 62, 63]" type=submit
button @(755,2016) "Query service beginTurn returns synchronously. [raw 65]" type=submit
button @(755,2043) "Backend refresh settles. [raw 66]" type=submit
button @(755,2070) "Definition lookup misses; a new search is needed. [raw 72]" type=submit
button @(755,2097) "Definition cache stores the new promise immediately. [raw 74]" type=submit
button @(1230,2322) "Solo + inspect ↗" type=submit
button @(1230,2498) "Solo + inspect ↗" type=submit
button @(1230,2674) "Solo + inspect ↗" type=submit
button @(1230,2868) "Solo + inspect ↗" type=submit
button @(1230,3063) "Inspect source ↗" type=submit
button @(1230,3257) "Inspect source ↗" type=submit
a @(70,3441) "↑ Return to the instrument" href=#instrument
a @(619,3672) "Open the frozen source book ↗" href=sources.html
a @(793,3672) "Recording hashes & test inventory ↗" href=evidence/instrument-manifest.json
a @(993,3672) "Focused test output ↗" href=evidence/focused-tests.txt
a @(1120,3672) "Experiment README ↗" href=README.md
a @(1300,3745) "Back to top ↑" href=#top
